DataType,Ask,Bid,LastPrice,StockPrice,Strike,Volatility,Volume,time_to_maturity,ImpliedVolatility
put,0.1,0,0.11,79.4,30,0.284653603,22,0.128767123,1.242191289
put,0.25,0,0.1,71.86,35,0.400072556,61,0.090410959,1.173832256
put,1.8,0,0.4,79.4,40,0.284653603,5,0.128767123,1.442385601
put,0.2,0,0.09,79.54,45,0.286562991,4,0.123287671,0.763674238
put,0.15,0,0.1,72.1,50,0.396489914,1,0.095890411,0.578129219
put,0.3,0,0.05,82.05,55,0.273100722,2,0.117808219,0.568363691
put,0.35,0.2,0.31,70.55,60,0.372802809,2,0.082191781,0.421880781
put,0.9,0.7,0.85,70.55,65,0.372802809,16,0.082191781,0.363043479
put,2.45,2.15,2.32,70.55,70,0.372802809,25,0.082191781,0.332526206
put,5.6,5.1,5.2,70.55,75,0.372802809,3,0.082191781,0.335700002
put,9,8.2,8.3,72.1,80,0.396489914,1,0.095890411,1.00E-05
put,14.8,14.1,14.5,70.55,85,0.372802809,20,0.082191781,0.448735981
put,2.05,1.7,1.92,70.55,65,0.351225067,2,0.156164384,0.392828337
put,3.2,2.75,2.9,72.54,70,0.354231303,11,0.161643836,0.30786825
put,0.15,0.05,0.17,70.55,35,0.311514946,24,0.331506849,0.572269902
put,0.15,0.05,0.6,79.4,40,0.250407952,3,0.378082192,0.503911211
put,0.75,0.5,0.73,75.25,50,0.291474457,1,0.347945205,0.464604963
put,0.85,0.65,1,78.15,55,0.283395999,2,0.353424658,0.376715217
put,2,1.75,1.8,70.55,60,0.311514946,24,0.331506849,0.387945574
put,3.4,3,3.2,70.55,65,0.311514946,1,0.331506849,0.369024865
put,4.7,4.1,4.59,72.54,70,0.308823328,5,0.334246575,0.307135835
put,7.8,7,7.11,71.86,75,0.304614468,2,0.342465753,0.315192395
put,11,10.2,10.7,71.86,80,0.304614468,1,0.342465753,0.282477878
put,10.6,9.9,10.57,78.15,85,0.283395999,7,0.353424658,1.00E-05
put,12.2,11.5,8.3,80.69,90,0.277017942,3,0.35890411,1.00E-05
put,0.9,0.45,0.6,71.86,40,0.282711559,1,0.589041096,0.512700186
put,3,2.45,2.9,72.54,60,0.283965625,1,0.583561644,0.356573817
put,6.3,5.7,5.9,72.54,70,0.283965625,10,0.583561644,0.307624111
put,9.4,8.5,9.1,72.1,75,0.284591445,1,0.594520548,0.314337911
put,9.5,8.6,10.7,78.15,80,0.278007038,1,0.602739726,0.086434917
put,10.9,9.9,9.1,80.69,85,0.282262909,6,0.608219178,1.00E-05
put,14.1,13.1,9.9,80.69,90,0.282262909,6,0.608219178,1.00E-05
put,33,31.8,36.3,78.15,110,0.278007038,1,0.602739726,1.00E-05
put,0.85,0,0.55,61.68,55,0.514635533,92,0.120547945,0.599125103
put,0.9,0.4,0.6,65.64,60,0.314403574,2,0.079452055,0.395513857
put,2,1.1,1.7,66.57,65,0.311533768,1,0.084931507,0.3037179
put,0.75,0.4,0.6,61.76,50,0.438532287,1,0.205479452,0.528325029
put,1.05,0.7,0.8,65.25,55,0.462855526,7,0.180821918,0.46777876
put,3.3,2.65,2.6,61.76,60,0.438532287,45,0.205479452,0.530033997
put,2.1,1.2,3.1,61.76,50,0.37904248,5,0.454794521,0.509282251
put,3.3,2.35,2.85,61.76,55,0.37904248,13,0.454794521,0.485600847
put,4.1,2.9,3.13,66.57,60,0.390552706,2,0.410958904,0.408331112
put,5.9,4.3,5.1,67.88,65,0.386346373,11,0.416438356,0.373053145
put,8.3,7.6,7.55,66.57,70,0.390552706,2,0.410958904,0.338995868
put,3.7,0.15,1,65.64,35,0.398956914,10,0.654794521,0.71509074
put,5.3,3.5,4.2,66.57,60,0.397493749,11,0.660273973,0.384771777
put,0.2,0.05,0.22,104.48,92.5,0.159491622,2,0.090410959,0.26074958
put,0.9,0.65,1.2,100.16,95,0.223123107,1,0.128767123,0.331305515
put,0.45,0.25,0.7,102.33,97.5,0.151759214,10,0.098630137,0.211433667
put,1.6,1.45,1.9,101.3,100,0.15788875,10,0.104109589,0.275642009
put,2.6,1.95,2.25,104.48,105,0.159491622,5,0.090410959,0.18555502
put,0.55,0.3,0.57,100.16,80,0.180884309,5,0.282191781,0.372809006
put,0.6,0.4,0.53,101.3,85,0.191453714,7,0.257534247,0.311286184
put,0.75,0.5,0.8,101.73,90,0.191543027,5,0.254794521,0.259650958
put,1.55,1.05,1.91,98.99,92.5,0.183981343,5,0.273972603,0.290412369
put,2.4,1.95,6.2,100.16,95,0.180884309,10,0.282191781,0.30506066
put,3.2,2.7,4.82,100.16,97.5,0.180884309,3,0.282191781,0.305182729
put,2.55,2.05,2.95,102.33,100,0.191854689,30,0.252054795,0.220344711
put,7.3,6.6,5.22,100.16,105,0.180884309,1,0.282191781,0.341559319
put,27.5,22.7,21.08,100.16,125,0.180884309,1,0.282191781,0.542485044
put,3.3,2.9,3.9,101.68,95,0.198441403,4,0.512328767,0.252815089
put,4.8,4.4,4.24,100.16,97.5,0.193087147,2,0.531506849,0.276252355
put,8.7,8.1,7.48,100.16,105,0.193087147,1,0.531506849,0.288154091
put,0.2,0.1,0.11,16.1,13,0.547892754,5,0.095890411,0.671878281
put,0.35,0.2,0.33,16.4,14,0.545169281,5,0.090410959,0.634769277
put,0.45,0.3,0.6,16.65,15,0.578424251,20,0.084931507,0.529301582
put,0.8,0.55,0.6,16.65,16,0.578424251,15,0.084931507,0.500981553
put,1.2,0.8,1.3,16.25,17,0.615118313,2,0.117808219,0.511723633
put,2,1.65,1.72,16.65,18,0.578424251,2,0.084931507,0.590824404
put,3,2.7,3.04,16.4,19,0.545169281,5,0.093150685,0.650394121
put,4,3.6,2.81,16.4,20,0.545169281,2,0.090410959,0.741213525
put,0.15,0,0.15,17.8,11,0.529101421,1,0.205479452,0.628909961
put,0.35,0.2,0.41,17.45,13,0.559076264,2,0.18630137,0.591800957
put,0.55,0.35,0.5,17.45,14,0.559076264,9,0.18630137,0.56445748
put,0.75,0.55,0.75,17.45,15,0.559076264,19,0.189041096,0.514653291
put,1.25,1.05,1.05,16.65,16,0.612492997,38,0.161643836,0.550785742
put,1.95,1.7,1.5,17.35,17,0.565804352,5,0.175342466,0.605472695
put,1.85,1.55,1.7,17.8,18,0.529101421,103,0.205479452,0.371100039
put,3.4,3,3.3,16.4,19,0.592277666,5,0.169863014,0.621097539
put,3.2,2.65,2.55,17.8,20,0.529101421,2,0.205479452,1.00E-05
put,4.1,3.6,4.27,17.8,21,0.529101421,10,0.205479452,1.00E-05
put,4.8,4.2,3.9,17.8,22,0.529101421,1,0.205479452,1.00E-05
put,5.9,5.2,4.1,17.8,23,0.529101421,1,0.205479452,1.00E-05
put,6.6,6.1,5.17,17.8,24,0.529101421,1,0.205479452,1.00E-05
put,7.7,6.8,3.4,17.8,25,0.529101421,4,0.205479452,1.00E-05
put,8.8,7.4,6.6,17.8,26,0.529101421,1,0.205479452,1.00E-05
put,10.3,9.3,10.35,16.75,27,0.534566976,10,0.197260274,1.00E-05
put,10.5,9.3,8.08,17.8,28,0.529101421,10,0.205479452,1.00E-05
put,11.6,9.9,6.2,17.8,29,0.529101421,7,0.205479452,1.00E-05
